Crop,Temperature,Area (Gunta),Land,Fertilizers (Price),Region,Perni (Cost),Kapni (Cost), Rain,investment(Seeds),Profit
Watermelons,35,320,1,850,1,850,950,1,500,3000
Watermelons,36,330,2,880,0,880,980,2,540,3200
Watermelons,34,310,1,820,1,820,920,1,470,2700
Watermelons,35,320,2,850,1,850,950,1,500,3000
Watermelons,36,330,2,880,0,880,980,2,540,3200
Watermelons,34,310,1,820,1,820,920,1,470,2700
Watermelons,35,320,2,850,1,850,950,1,500,3000
Watermelons,36,330,2,880,0,880,980,2,540,3200
Watermelons,34,310,1,820,1,820,920,1,470,2700
Watermelons,35,320,2,850,1,850,950,1,500,3000
Barley,28,170,2,600,0,600,700,2,400,2200
Barley,29,180,1,620,1,620,720,1,430,2400
Barley,27,160,2,580,0,580,680,2,380,2100
Barley,28,170,2,600,1,600,700,2,400,2200
Barley,29,180,1,620,0,620,720,1,430,2400
Barley,27,160,2,580,0,580,680,2,380,2100
Barley,28,170,2,600,1,600,700,2,400,2200
Barley,29,180,1,620,0,620,720,1,430,2400
Barley,27,160,2,580,0,580,680,2,380,2100
Barley,28,170,2,600,1,600,700,2,400,2200
Peas,26,70,1,400,0,400,500,2,250,1200
Peas,27,80,2,420,1,420,520,1,260,1300
Peas,25,60,1,380,0,380,480,2,230,1100
Peas,26,70,2,400,1,400,500,2,250,1200
Peas,27,80,1,420,0,420,520,1,260,1300
Peas,25,60,1,380,0,380,480,2,230,1100
Peas,26,70,2,400,1,400,500,2,250,1200
Peas,27,80,1,420,0,420,520,1,260,1300
Peas,25,60,1,380,0,380,480,2,230,1100
Peas,26,70,2,400,1,400,500,2,250,1200
Lentils,29,60,2,400,0,400,500,1,280,1200
Lentils,30,70,1,420,1,420,520,2,300,1400
Lentils,28,50,2,380,0,380,480,1,250,1100
Lentils,29,60,2,400,1,400,500,2,280,1200
Lentils,30,70,1,420,0,420,520,2,300,1400
Lentils,28,50,2,380,0,380,480,1,250,1100
Lentils,29,60,2,400,1,400,500,2,280,1200
Lentils,30,70,1,420,0,420,520,2,300,1400
Lentils,28,50,2,380,0,380,480,1,250,1100
Lentils,29,60,2,400,1,400,500,2,280,1200
Chickpeas,33,200,2,800,1,800,900,1,600,3300
Chickpeas,34,210,1,820,0,820,920,2,630,3500
Chickpeas,32,190,2,780,1,780,880,1,580,3100
Chickpeas,33,200,2,800,0,800,900,2,600,3300
Chickpeas,34,210,1,820,0,820,920,2,630,3500
Chickpeas,32,190,2,780,1,780,880,1,580,3100
Chickpeas,33,200,2,800,0,800,900,2,600,3300
Chickpeas,34,210,1,820,0,820,920,2,630,3500
Chickpeas,32,190,2,780,1,780,880,1,580,3100
Chickpeas,33,200,2,800,1,800,900,2,600,3300
Sunflowers,37,320,1,850,0,850,950,2,550,3200
Sunflowers,38,330,2,880,1,880,980,1,580,3500
Sunflowers,36,310,1,820,0,820,920,2,530,2900
Sunflowers,37,320,2,850,1,850,950,2,550,3200
Sunflowers,38,330,2,880,0,880,980,1,580,3500
Sunflowers,36,310,1,820,0,820,920,2,530,2900
Sunflowers,37,320,2,850,1,850,950,2,550,3200
Sunflowers,38,330,2,880,0,880,980,1,580,3500
Sunflowers,36,310,1,820,0,820,920,2,530,2900
Sunflowers,37,320,2,850,1,850,950,2,550,3200
Sorghum,30,170,1,620,0,620,720,1,380,2400
Sorghum,31,180,2,650,1,650,750,2,400,2600
Sorghum,29,160,1,590,0,590,690,1,350,2200
Sorghum,30,170,2,620,1,620,720,1,380,2400
Sorghum,31,180,2,650,0,650,750,2,400,2600
Sorghum,29,160,1,590,0,590,690,1,350,2200
Sorghum,30,170,2,620,1,620,720,1,380,2400
Sorghum,31,180,2,650,0,650,750,2,400,2600
Sorghum,29,160,1,590,0,590,690,1,350,2200
Sorghum,30,170,2,620,1,620,720,1,380,2400
Rye,24,90,1,400,0,400,500,2,250,1200
Rye,25,100,2,420,1,420,520,1,280,1300
Rye,23,80,1,380,0,380,480,2,230,1100
Rye,24,90,2,400,1,400,500,2,250,1200
Rye,25,100,1,420,0,420,520,1,280,1300
Rye,23,80,1,380,0,380,480,2,230,1100
Rye,24,90,2,400,1,400,500,2,250,1200
Rye,25,100,1,420,0,420,520,1,280,1300
Rye,23,80,1,380,0,380,480,2,230,1100
Rye,24,90,2,400,1,400,500,2,250,1200
Oats,21,70,1,400,0,400,500,2,250,1200
Oats,22,80,2,420,1,420,520,1,280,1300
Oats,20,60,1,380,0,380,480,2,230,1100
Oats,21,70,2,400,1,400,500,2,250,1200
Oats,22,80,1,420,0,420,520,1,280,1300
Oats,20,60,1,380,0,380,480,2,230,1100
Oats,21,70,2,400,1,400,500,2,250,1200
Oats,22,80,1,420,0,420,520,1,280,1300
Oats,20,60,1,380,0,380,480,2,230,1100
Oats,21,70,2,400,1,400,500,2,250,1200
Canola,27,110,2,650,1,650,750,1,480,2600
Canola,28,120,1,670,0,670,770,2,510,2800
Canola,26,100,2,630,1,630,730,1,460,2400
Canola,27,110,2,650,0,650,750,1,480,2600
Canola,28,120,1,670,0,670,770,2,510,2800
Canola,26,100,2,630,1,630,730,1,460,2400
Canola,27,110,2,650,1,650,750,1,480,2600
Canola,28,120,1,670,0,670,770,2,510,2800
Canola,26,100,2,630,1,630,730,1,460,2400
Canola,27,110,2,650,0,650,750,1,480,2600
Flax,24,80,1,420,0,420,520,2,300,1400
Flax,25,90,2,450,1,450,550,1,330,1600
Flax,23,70,1,400,0,400,500,2,280,1200
Flax,24,80,2,420,1,420,520,2,300,1400
Flax,25,90,1,450,0,450,550,1,330,1600
Flax,23,70,1,400,0,400,500,2,280,1200
Flax,24,80,2,420,1,420,520,2,300,1400
Flax,25,90,1,450,0,450,550,1,330,1600
Flax,23,70,1,400,0,400,500,2,280,1200
Flax,24,80,2,420,1,420,520,2,300,1400
Hemp,29,190,2,850,1,850,950,1,600,3400
Hemp,30,200,1,870,0,870,970,2,630,3600
Hemp,28,180,2,830,1,830,930,1,580,3200
Hemp,29,190,2,850,0,850,950,1,600,3400
Hemp,30,200,1,870,0,870,970,2,630,3600
Hemp,28,180,2,830,1,830,930,1,580,3200
Hemp,29,190,2,850,1,850,950,1,600,3400
Hemp,30,200,1,870,0,870,970,2,630,3600
Hemp,28,180,2,830,1,830,930,1,580,3200
Hemp,29,190,2,850,0,850,950,1,600,3400
Quinoa,34,170,1,800,0,800,900,2,530,3200
Quinoa,35,180,2,830,1,830,930,1,560,3400
Quinoa,33,160,1,780,0,780,880,2,510,3000
Quinoa,34,170,2,800,1,800,900,2,530,3200
Quinoa,35,180,1,830,0,830,930,1,560,3400
Quinoa,33,160,1,780,0,780,880,2,510,3000
Quinoa,34,170,2,800,1,800,900,2,530,3200
Quinoa,35,180,1,830,0,830,930,1,560,3400
Quinoa,33,160,1,780,0,780,880,2,510,3000
Quinoa,34,170,2,800,1,800,900,2,530,3200
Millet,19,60,1,400,0,400,500,2,250,1200
Millet,20,70,2,420,1,420,520,1,280,1300
Millet,18,50,1,380,0,380,480,2,230,1100
Millet,19,60,2,400,1,400,500,2,250,1200
Millet,20,70,1,420,0,420,520,1,280,1300
Millet,18,50,1,380,0,380,480,2,230,1100
Millet,19,60,2,400,1,400,500,2,250,1200
Millet,20,70,1,420,0,420,520,1,280,1300
Millet,18,50,1,380,0,380,480,2,230,1100
Millet,19,60,2,400,1,400,500,2,250,1200
Buckwheat,23,70,1,420,0,420,520,2,300,1400
Buckwheat,24,80,2,450,1,450,550,1,330,1600
Buckwheat,22,60,1,400,0,400,500,2,280,1200
Buckwheat,23,70,2,420,1,420,520,2,300,1400
Buckwheat,24,80,1,450,0,450,550,1,330,1600
Buckwheat,22,60,1,400,0,400,500,2,280,1200
Buckwheat,23,70,2,420,1,420,520,2,300,1400
Buckwheat,24,80,1,450,0,450,550,1,330,1600
Buckwheat,22,60,1,400,0,400,500,2,280,1200
Buckwheat,23,70,2,420,1,420,520,2,300,1400
Mustard,28,210,2,800,1,800,900,1,600,3300
Mustard,29,220,1,820,0,820,920,2,630,3500
Mustard,27,200,2,780,1,780,880,1,580,3100
Mustard,28,210,2,800,0,800,900,2,600,3300
Mustard,29,220,1,820,0,820,920,2,630,3500
Mustard,27,200,2,780,1,780,880,1,580,3100
Mustard,28,210,2,800,1,800,900,1,600,3300
Mustard,29,220,1,820,0,820,920,2,630,3500
Mustard,27,200,2,780,1,780,880,1,580,3100
Mustard,28,210,2,800,0,800,900,2,600,3300
Sesame,31,170,1,800,0,800,900,2,530,3200
Sesame,32,180,2,830,1,830,930,1,560,3400
Sesame,30,160,1,780,0,780,880,2,510,3000
Sesame,31,170,2,800,1,800,900,2,530,3200
Sesame,32,180,1,830,0,830,930,1,560,3400
Sesame,30,160,1,780,0,780,880,2,510,3000
Sesame,31,170,2,800,1,800,900,2,530,3200
Sesame,32,180,1,830,0,830,930,1,560,3400
Sesame,30,160,1,780,0,780,880,2,510,3000
Sesame,31,170,2,800,1,800,900,2,530,3200
